S.No.,COMPANY NAME,DATE OF REGISTRATION,STATE,ROC,COMPANY STATUS,CATEGORY,CLASS,COMPANY TYPE, AUTHORIZED CAPITAL , PAIDUP CAPITAL ,ACTIVITY CODE,ACTIVITY DESCRIPTION,REGISTERED OFFICE ADDRESS,EMAIL
11,ZEDRA SERVICES INDIA PRIVATE LIMITED,05-04-2023,Karnataka,ROC Bangalore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",82,Other business support service activities n.e.c.,"Brigade IRV Centre 9th Floor,Nallurhalli, Whitefield,Bangalore, Bangalore, Karnataka, India - 560001",chris.field@zedra.com
12,BUZZREEL INDIA PRIVATE LIMITED,05-04-2023,Gujarat,ROC Ahmedabad,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",62,Other information technology and computer service activities n.e.c,"D-826, Swati Crimson and Clover,,Near Shilaj Circle,,Daskroi, Ahmedabad, Gujarat, India - 380059",compliant.advisory@gmail.com
13,IONTRA INDIA PRIVATE LIMITED,05-04-2023,Karnataka,ROC Bangalore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",62,Computer consultancy and computer facilities management activities,"NO. 52, 1ST FLOOR, 100 FEET ROAD,2ND BLOCK, KORAMANGALA,Bangalore South, Bangalore, Karnataka, India - 560034",Sankaranarayanan.kannan@vistra.com
14,ACTYV.AI DIGITAL LABS PRIVATE LIMITED,05-04-2023,Karnataka,ROC Bangalore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 15,00,000 "," ? 10,000 ",62,Other information technology and computer service activities n.e.c,"2nd Floor Wing B Salarpuria Supreme,Marathahalli Village Marathahalli Bangalore KA 560037 IN,Bangalore North, Bangalore, Karnataka, India - 560037",ramkumar.t@actyv.com
15,WORKHACK INDIA PRIVATE LIMITED,05-04-2023,Karnataka,ROC Bangalore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 50,000 ",62,Other information technology and computer service activities n.e.c,"office number HD-195, WeWork Prestige Atlanta, 80 Feet Main Road,,Koramangala 1A Block, Industrial Layout,Bangalore South, Bangalore, Karnataka, India - 560034",akshattyagi4@gmail.com
16,WELLPERFORM ENGINEERING PRIVATE LIMITED,06-04-2023,Maharashtra,ROC Mumbai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",43,"Site preparation including drilling, boring and core sampling for construction, geophysical, geological or similar purposes","S-401, I T Park Building, CTS 1651, (B) Vlg mar,Next to Mittal Estate, Andheri East,Mumbai, Mumbai, Maharashtra, India - 400069",slj@wellperform.com
17,ENTRANZ FINANCE PRIVATE LIMITED,06-04-2023,Delhi,ROC Delhi,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",64,Financial leasing,"S-217,Panchsheel Park,New Delhi, South Delhi, Delhi, India - 110017",indiacompliance@isquaredcapital.com
18,NUFORTH INDIA PRIVATE LIMITED,06-04-2023,Delhi,ROC Delhi,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 15,00,000 "," ? 1,00,000 ",46,"Wholesale of radio, television and other consumer electronics including CD/DVD players and recorders"," C-775, First Floor,,NEW FRIENDS COLONY, NEW DELHI NEAR C-776,New Delhi, South Delhi, Delhi, India - 110025",anish.jain@nuforth.com
19,PROVECTIS HEALTHCARE PRIVATE LIMITED,06-04-2023,Telangana,ROC Hyderabad,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 1,00,000 ",47,"Retail sale of pharmaceuticals, medical and orthopaedic goods and toilet articles","Office No. 01B1 12A01B1, 12A (13th) Floor,Manjeera Trinity Corporation, JNTU Rd, Kukatpally,Balanagar, Hyderabad, Telangana, India - 500072",info@provectis.ch
20,MODMED TECHNOLOGIES INDIA PRIVATE LIMITED,06-04-2023,Telangana,ROC Hyderabad,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 10,00,000 ",62,Other information technology and computer service activities n.e.c,"WEWORK KRISHE EMERALD,KONDAPUR MAIN ROAD LAXMI CYBER CITY HITEC CITY WHITEFIELDS KONDAPUR,Shaikpet, Hyderabad, Telangana, India - 500081",RAJVINDER.SINGH@MODMED.COM
21,ENDEAS INDIA PRIVATE LIMITED,06-04-2023,Maharashtra,ROC Mumbai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 20,00,000 "," ? 20,00,000 ",25,Manufacture of other fabricated metal products n.e.c.,"Flat No. 304, Laxmi Residency, PLot No. 12A,Sector - 35F, Near BKS Galaxy, Kharghar, Raigarh,Panvel, Raigarh(MH), Maharashtra, India - 410210",balamn31@gmail.com
22,LABCORP LABORATORIES INDIA PRIVATE LIMITED,06-04-2023,Karnataka,ROC Bangalore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",21,Manufacture of allopathic pharmaceutical preparations,"29 Union Street,Off Cubbon Road Municipal Ward 78 of Vasanthnagar,Bangalore, Bangalore, Karnataka, India - 560001",sagar.deshpande@labcorp.com
23,SEAMED OFFSHORE INDIA PRIVATE LIMITED,06-04-2023,Maharashtra,ROC Mumbai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 10,00,000 ",77,Renting and operational leasing of water-transport equipment without operator,"234, Dheeraj Heritage Meter,Room No.3, S V Road,,Santacruz West, NR Milan, Subway Signal,Mumbai, Mumbai, Maharashtra, India - 400054",lionelcf@gmail.com
24,FINSTACKK CORPORATE SERVICES PRIVATE LIMITED,07-04-2023,Telangana,ROC Hyderabad,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 1,00,000 ",69,"Accounting, bookkeeping and auditing activities","301 & 307 3rd Floor, PSR Prime Tower,,,Seri Lingampally, K.V.Rangareddy, Telangana, India - 500032",ysreddy794@gmail.com
25,ZEPIC TECHNOLOGIES INDIA PRIVATE LIMITED,07-04-2023,Tamil Nadu,ROC Chennai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 10,000 ",62,Other information technology and computer service activities n.e.c,"E6E E BLK, Jones Sigriya, Maxworth Nagar 8th Street,,Pallikaranai Chennai Kanchipuram 600100,Tambaram, Kanchipuram, Tamil Nadu, India - 600100",sunil.si@gmail.com
26,TIMBEL INDIA PRIVATE LIMITED,07-04-2023,Karnataka,ROC Bangalore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,00,000 "," ? 1,00,00,000 ",62,Other information technology and computer service activities n.e.c,"NO 66/1, OLD NO 66, 302 A, 3RD FLOOR,A BLOCK, MIRAYA ROSE, SIDDAPURA VILLAGE, VARTHUR ROAD, HOBLI,Bangalore, Bangalore, Karnataka, India - 560066",jhyoon@timbel.net
27,BIONEMA BIOLOGICALS PRIVATE LIMITED,07-04-2023,Telangana,ROC Hyderabad,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 1,00,000 ",46,Wholesale of fertilizers and agrochemical products,"16-187, IDA Bollarum,Jinnaram Mandal,R.c.puram, Medak, Telangana, India - 502325",m.a.syeda@bionema.com
28,VIDAXL SERVICES PRIVATE LIMITED,08-04-2023,Telangana,ROC Hyderabad,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",62,Computer consultancy and computer facilities management activities,"303, Block-A, Legend Commercial Complex,,3-4-770 & 136A, Barkatpura, Hyderabad,Himayathnagar, Hyderabad, Telangana, India - 500027",R.onverwacht@vidaxl.com
29,CANIBUILD TECHNOLOGIES INDIA PRIVATE LIMITED,08-04-2023,Haryana,ROC Delhi,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 1,00,000 ",62,Other information technology and computer service activities n.e.c,"144, FF ,,S/Mall,Railway Road, Gurgaon, Haryana, India - 122006",sabhya@sharmapartners.co.in
30,DATOLITE SOLUTIONS INDIA PRIVATE LIMITED,08-04-2023,Uttar Pradesh,ROC Kanpur,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 1,00,000 ",62,Other information technology and computer service activities n.e.c,"E-108 Sector 20 Noida, Gautam Buddh Nagar (G B Nagar),,Noida, Gautam Buddha Nagar, Uttar Pradesh, India - 201301",rakesh.rai@datolitesolutions.com
31,EBI TECH ADVISORS PRIVATE LIMITED,10-04-2023,Maharashtra,ROC Mumbai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",70,Management consultancy activities,"REGUS SUBURB CENTRES PRIVATE LIMITED,PLOT NO. 4, DYNASTY BUSINESS PARK, A WING, ANDHERI KURLA ROAD,Mumbai, Mumbai, Maharashtra, India - 400059",deepanshi.trivedi@dlslawoffices.com
32,WAYSTONE TECHNOLOGY SOLUTIONS PRIVATE LIMITED,10-04-2023,Maharashtra,ROC Mumbai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 10,00,000 ",62,Other information technology and computer service activities n.e.c,"B-1101, 247 Park, LBS Marg,Vikhroli (West) Mumbai,Mumbai, Mumbai, Maharashtra, India - 400083",rishidhuper@gmail.com
33,PEOPLEFONE INDIA PRIVATE LIMITED,10-04-2023,Maharashtra,ROC Pune,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 5,00,000 "," ? 5,00,000 ",62,Other information technology and computer service activities n.e.c,"ALTUS OFFICE NO 304, S NO 23,,BALEWADI,Haveli, Pune, Maharashtra, India - 411045",india@peoplefone.com
34,SIFFRON SOLUTIONS PRIVATE LIMITED,10-04-2023,Maharashtra,ROC Mumbai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",74,Other specialized design activities n.e.c.,"RM 4 THE HUNS CHS LTD (NEW BUILDING) DAWOOD BAUG,J P ROAD PLOT NO 30 OPP MUNCIPAL SCHOOL ANDHERI (W),Mumbai, Mumbai, Maharashtra, India - 400058",Sankaranarayanan.Kannan@vistra.com
35,ATTACH2 INDIA PRIVATE LIMITED,10-04-2023,Karnataka,ROC Bangalore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",28,Manufacture of other lifting and handling equipment and parts thereof,"No. 220, 3rd Floor, 2nd Phase,Domlur 2nd Stage,Bangalore North, Bangalore, Karnataka, India - 560071",sharath.ak@scalexbusiness.com
36,FIRST DUE SOLUTIONS INDIA PRIVATE LIMITED,10-04-2023,Telangana,ROC Hyderabad,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 10,00,000 ",62,Other information technology and computer service activities n.e.c,"Cyber Crown, Sec-II, Village, HUDA Techno Enclave, Madhpur,,Shaikpet, Hyderabad, Telangana, India - 500081",kotakprakash@hotmail.com
37,MAINFREIGHT INDIA PRIVATE LIMITED,10-04-2023,Maharashtra,ROC Mumbai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,00,000 "," ? 50,00,000 ",52,Cargo handling incidental to air transport,"B504, 124C, Royal Enclave, Village Mogra, Nagardas Road,,Parsi Panchayat Road, Andheri East,Mumbai, Mumbai, Maharashtra, India - 400069",Omkarsbhande@gmail.com
38,ANMOLTA ORBIT PRIVATE LIMITED,10-04-2023,Haryana,ROC Delhi,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 5,00,000 "," ? 5,00,000 ",62,Software installation,"C-1-8-A GROUND FLOOR,ARDEE CITY SECTOR-52,Dlf Qe, Gurgaon, Haryana, India - 122002",nidhi@anmolit.com
39,CRUNCHYROLL INDIA PRIVATE LIMITED,10-04-2023,Maharashtra,ROC Mumbai,Inactive for e-filing,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 40,00,00,000 "," ? 20,00,00,000 ",63,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated content","Innov8  Solitaire Corporate Park,7th Floor, S 11, Unit No. 1171, 1172 Ghatkopar Link Road Chakala, Nr  Technopolis Knowledge Park,Mumbai, Mumbai, Maharashtra, India - 400093",lalit_chatnani@spe.sony.com
40,ASSOCIATION OF NDI-DHARAMSHALA,10-04-2023,Himachal Pradesh,ROC Himachal Pradesh,Active,Company limited by guarantee,Private,subsidiary of company incorporated outside India,,,88,Other social work activities without accommodation n.e.c.,"DHARAMSHALA 2221,DELEK HOSPITAL,Dharamsala, Kangra, Himachal Pradesh, India - 176215",ndidharamshala@ndi.org
41,PIEPUS SOLAR PRIVATE LIMITED,10-04-2023,Haryana,ROC Delhi,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 1,00,000 ",35,Electric power generation using solar energy,"5th Floor, North Tower M3M Tee Point,Sector-65, Golf Course Extension Road,Gurgaon, Gurgaon, Haryana, India - 122018",Parish.Gupta@ibvogt.com
42,MARSHOY ENERGY ADVISORY SERVICES PRIVATE LIMITED,10-04-2023,Maharashtra,ROC Mumbai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",62,Other information technology and computer service activities n.e.c,"Marathon Chambers, Ground Floor, Mafatlal Mill Compound,, N M Joshi Marg, Lower (Parel East),Mumbai, Mumbai, Maharashtra, India - 400013",finance-enelxin@enel.com
43,TOPPAN JAPADIA PRIVATE LIMITED,10-04-2023,Haryana,ROC Delhi,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 8,25,00,000 "," ? 8,25,00,000 ",46,Other non-specialised wholesale trade n.e.c.,"OFFICE NO 410, 04Th FLOOR,,MGF METROPOLIS MALL MG ROAD,Dlf Qe, Gurgaon, Haryana, India - 122002",accounts@suzuki-gc.com
44,OTTERA INDIA PRIVATE LIMITED,10-04-2023,Delhi,ROC Delhi,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 1,00,000 ",62,Other information technology and computer service activities n.e.c,"G-17,Block-E, South Extension -II,New Delhi, South Delhi, Delhi, India - 110049",info@ottera.tv
45,AMSIN INDIA PRIVATE LIMITED,11-04-2023,Uttar Pradesh,ROC Kanpur,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",62,Providing software support and maintenance to the clients,"L-6,SHASTRI NAGAR,Meerut, Meerut, Uttar Pradesh, India - 250004",sumanorma2013@gmail.com
46,RIIV INDIA PRIVATE LIMITED,11-04-2023,Maharashtra,ROC Mumbai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 15,00,000 "," ? 15,00,000 ",62,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page designing","Flat No 4605, 46th Floor, B Wing,Oberoi Exquisite, Oberoi Garden City,Goregaon East, Mumbai, Maharashtra, India - 400063",nsankar@russellinvestments.com
47,PRICOL ELECTRONICS PRIVATE LIMITED,11-04-2023,Tamil Nadu,ROC Coimbatore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 15,00,000 "," ? 15,00,000 ",26,Manufacture of other electronic components n.e.c,"CPM Towers, 109, Race Course,Behind HSBC Bank,Coimbatore South, Coimbatore, Tamil Nadu, India - 641018",cs@pricol.com
48,SHIFAMED INDIA PRIVATE LIMITED,11-04-2023,Maharashtra,ROC Mumbai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 20,00,000 "," ? 20,00,000 ",58,Publishing of operating systems and system software,"Plot no 4, Dynasty Buisness Park, Andheri Kurla Road, Andheri (East),Plot no:4,Dynasty Buisness Park,Andheri kurla road,Andheri (east) Mumbai,Mumbai, Mumbai, Maharashtra, India - 400059",tnhuong@shifamed.com
49,EMBANET INDIA PRIVATE LIMITED,11-04-2023,Uttar Pradesh,ROC Kanpur,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,000 "," ? 1,00,000 ",85,Educational support services,"Plot No. C-001A/2, Berger Tower, 1st Floor,Delhi Noida Direct Flyway,Noida, Gautam Buddha Nagar, Uttar Pradesh, India - 201301",pearsonglobalgovernance@pearson.com
50,SGD CORNING TECHNOLOGIES PRIVATE LIMITED,11-04-2023,Telangana,ROC Hyderabad,Inactive for e-filing,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 15,00,000 "," ? 15,00,000 ",23,Manufacture of laboratory or pharmaceutical glassware,"Sy No. 266, 267, 269, 271/1, 272 T, 295AA/3, 286/19 to 286/24,Vemula (V) Moosapet (M), Mahabubnagar-Dist,Mahabub Nagar, Mahabub Nagar, Telangana, India - 509380",mukul.s@sgdgroup.com
51,ZENTRADES INDIA PRIVATE LIMITED,11-04-2023,Maharashtra,ROC Pune,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 10,000 ",62,Other information technology and computer service activities n.e.c,"S No 133 (P) CTS No 4944/8 Common UPS,Pune,Pune City, Pune, Maharashtra, India - 411013",finance@smartserv.io
52,CXR TECHNOLOGIES PRIVATE LIMITED,11-04-2023,Maharashtra,ROC Mumbai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 1,00,000 ",62,Other information technology and computer service activities n.e.c,"PLOT NO. A/4, ROAD NO. 1,WAGLE INDUSTRIAL ESTATE, THANE,Thane, Thane, Maharashtra, India - 400604",gaurav@cxr.agency
53,FOUNDERANDLIGHTNING PRIVATE LIMITED,11-04-2023,Chandigarh,ROC Chandigarh,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 25,00,000 "," ? 25,00,000 ",62,Other information technology and computer service activities n.e.c,"HOUSE NO. 51, SANGAM ENCLAVE,,SECTOR 48A,Chandigarh, Chandigarh, Chandigarh, India - 160047",neerajchd@gmail.com
54,GREENPAGES GLOBAL DELIVERY CENTRE PRIVATE LIMITED,12-04-2023,Karnataka,ROC Bangalore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 3,00,00,000 "," ? 2,70,00,000 ",62,Other information technology and computer service activities n.e.c,"12th Floor Crescent 3 Prestige Shantiniketan,ITPL Main Road Whitefield,Bangalore South, Bangalore, Karnataka, India - 560066",cs@nexdigm.com
55,BUCCI INDUSTRIES INDIA PRIVATE LIMITED,12-04-2023,Delhi,ROC Delhi,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 40,00,000 "," ? 1,00,000 ",28,Manufacture of other general purpose machinery n.e.c. ( fans intended,"411, DLF Tower-B, Jasola District Centre,,New Delhi, South Delhi, Delhi, India - 110076",c.bernardi@bucci-industries.com
56,CONSULTRED INDIA PRIVATE LIMITED,12-04-2023,Telangana,ROC Hyderabad,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,000 "," ? 10,000 ",62,Other information technology and computer service activities n.e.c," Unit 302, 3rd Floor, (B-Block), Municipal House,No.9-1-113 To 118/B//2/302, Amsri Shamira, Old Lancer Lane,Secunderabad, Hyderabad, Telangana, India - 500003",Paul.stevenson@consult.red
57,SWIMLANE AUTOMATION (INDIA) PRIVATE LIMITED,12-04-2023,Telangana,ROC Hyderabad,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 1,00,000 ",62,Other information technology and computer service activities n.e.c,"24TH Floor, One West- A Terminus Project,Narsing Nanakramguda Service Road,Golconda, Hyderabad, Telangana, India - 500008",lakshmi.madegowda@swimlane.com
58,MOLEMAB SUPERABRASIVES INDIA PRIVATE LIMITED,12-04-2023,Karnataka,ROC Bangalore,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 40,00,000 "," ? 40,00,000 ",23,"Manufacture of millstones, sharpening or polishing stones and natural or artificial abrasive products, including abrasive powder or grain on a base of textile material, paper, paper board or other material","Plot no 6, Road no 6,Vasanthanarasapura Industrial Area Phase - 2,Tumkur, Tumkur, Karnataka, India - 572128",octagona.cs@gmail.com
59,FUNATEK SYSTEMS PRIVATE LIMITED,12-04-2023,Tamil Nadu,ROC Chennai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 15,00,000 "," ? 1,00,000 ",62,Providing software support and maintenance to the clients,"No.18, Corporation Colony,Rangarajapuram 1st Street, Kodambakkam,Chennai,Chennai City Corporation, Chennai, Tamil Nadu, India - 600024",intek@dhivehinet.net.mv
60,ARDATEM INDIA PRIVATE LIMITED,12-04-2023,Maharashtra,ROC Mumbai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 85,00,000 "," ? 85,00,000 ",27,Manufacture of other electrical equipment,"203 2nd Floor Mahinder Chambers,W.T. Patil Marg Opp Dukes Factory,Mumbai, Mumbai, Maharashtra, India - 400071",cs@uja.in
61,DF AUTOMATION SOLUTION INDIA PRIVATE LIMITED,12-04-2023,Maharashtra,ROC Pune,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 10,00,000 "," ? 1,00,000 ",62,Providing software support and maintenance to the clients,"office No.911 Geras Imperium Alpha,,Rajaram Patil Nagar, Vitthal Nagar,Pune, Pune, Maharashtra, India - 411014",sagar@dfautomation.com
62,STANCOM INTERNATIONAL SERVICES INDIA PRIVATE LIMITED,12-04-2023,Telangana,ROC Hyderabad,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 15,00,000 "," ? 15,00,000 ",62,Other information technology and computer service activities n.e.c,"PLOT NO 994 ROAD NO 46,JUBILEE HILLS,Shaikpet, Hyderabad, Telangana, India - 500033",msomesh@aointl.com
63,ZEIT GREEN DEVELOPMENT INDIA PRIVATE LIMITED,12-04-2023,Delhi,ROC Delhi,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,22,11,00,000 "," ? 2,85,00,000 ",35,Electric power generation using solar energy,"Plot No B-156, 2nd Floor Blk-B, New Subzi Mandi Azadpur,,Delhi, North West Delhi, Delhi, India - 110033",hson@gsenc.com
64,GLOBAL ENTERPRISE MOBILITY ALLIANCE INDIA PRIVATE LIMITED,13-04-2023,Haryana,ROC Delhi,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 40,00,000 "," ? 40,00,000 ",62,Computer consultancy and computer facilities management activities,"L16/2A, DLF Phase II,,,Dlf Qe, Gurgaon, Haryana, India - 122002",rohit@xsatindia.in
65,ARCELORMITTAL DIGITAL CONSULTING PRIVATE LIMITED,13-04-2023,Delhi,ROC Delhi,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 3,00,00,000 "," ? 2,00,00,000 ",62,Other information technology and computer service activities n.e.c,"Unit No. DTJ - 108, First Floor, Plot No. 11,DLF Tower B, Jasola, New Delhi,New Delhi, South Delhi, Delhi, India - 110025",java.joshi@arcelormittal.com
66,OCM INDIA OPPORTUNITIES XII AIF MANAGEMENT PRIVATE LIMITED,13-04-2023,Maharashtra,ROC Mumbai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 25,00,000 "," ? 25,00,000 ",66,Activities auxiliary to financial service activities n.e.c.,"Level 7, B Wing, The Capital,,Bandra Kurla Complex,Mumbai, Mumbai, Maharashtra, India - 400051",ITCL.CorporateServices@vistra.com
67,MONEY FORWARD INDIA PRIVATE LIMITED,13-04-2023,Tamil Nadu,ROC Chennai,Active,Company limited by shares,Private,subsidiary of company incorporated outside India," ? 1,00,00,000 "," ? 1,00,00,000 ",62,Other information technology and computer service activities n.e.c,"Real Enclave, Door No. 43, Block Number,406 Josier Street , Nungambakkam,Chennai, Chennai, Tamil Nadu, India - 600034",tcf_roc@tokyoconsultingfirm.com
